<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiH9,D,20190221,65865,65989,65629,65716,1053537,2353238
SiH9,D,20190222,65718,65916,65563,65660,1111106,2377542
SiH9,D,20190225,65652,65698,65377,65608,1220520,2445958
SiH9,D,20190226,65636,66130,65617,66070,1326179,2743008
SiH9,D,20190227,66077,66236,65862,66086,1344882,2693054
SiH9,D,20190228,66084,66147,65880,66082,1217446,2504120
SiH9,D,20190301,66076,66135,65760,65936,1480849,2604070
SiH9,D,20190304,65930,66123,65794,65867,1221907,2615498
SiH9,D,20190305,65886,66012,65814,65952,1085822,2464358
SiH9,D,20190306,65949,66200,65893,66150,1356887,2590734
SiH9,D,20190307,66136,66290,65955,66232,1338740,2441738
SiH9,D,20190311,66257,66414,66049,66095,1052177,2297258
SiH9,D,20190312,66109,66144,65723,65746,1252713,2444422
SiH9,D,20190313,65765,65790,65405,65500,1006800,2441398
SiH9,D,20190314,65506,65668,65378,65590,1205051,2255444
SiH9,D,20190315,65570,65630,65174,65246,1301720,2276508
SiH9,D,20190318,65200,65242,64158,64491,1854766,2032276
