<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiM9,D,20180731,64460,64480,64400,64400,12,2112
SiM9,D,20180801,64269,64470,64269,64470,13,2138
SiM9,D,20180802,65100,65488,65100,65488,31,2136
SiM9,D,20180803,65388,65388,65338,65338,10,2120
SiM9,D,20180806,65538,65538,65538,65538,10,2132
SiM9,D,20180807,65388,65388,65388,65388,10,2120
SiM9,D,20180808,65588,67020,65588,67000,112,2298
SiM9,D,20180809,67230,68657,67230,68300,1124,4484
SiM9,D,20180810,68530,69820,68530,69790,94,4584
SiM9,D,20180813,70000,70300,69880,70300,1046,6642
SiM9,D,20180814,70230,70250,68540,68700,63,6660
SiM9,D,20180815,68686,69780,68686,69780,137,6686
SiM9,D,20180816,69588,69588,68929,68983,144,6884
SiM9,D,20180817,69048,69738,69048,69700,54,6900
SiM9,D,20180820,69488,69488,69238,69320,25,6880
SiM9,D,20180821,69330,69588,69330,69488,945,6892
SiM9,D,20180822,69388,70138,69388,69960,1041,8894
SiM9,D,20180823,70140,71050,69788,70275,173,8908
SiM9,D,20180824,70320,70440,69740,69740,71,8902
SiM9,D,20180827,69438,69500,69100,69225,34,8860
SiM9,D,20180828,69600,69788,69488,69788,26,8882
SiM9,D,20180829,69790,70300,69788,70300,37,8920
SiM9,D,20180830,69888,70288,69888,70288,9,8920
SiM9,D,20180831,70420,70420,69488,69488,33,8910
SiM9,D,20180903,70088,70325,70088,70138,15,8920
SiM9,D,20180904,70194,70588,70140,70288,40,8954
SiM9,D,20180905,70347,70675,70299,70675,22,8966
SiM9,D,20180906,70600,71740,70599,71740,73,8982
SiM9,D,20180907,71598,71940,71396,71720,38,9026
SiM9,D,20180910,72020,72800,72020,72800,77,9054
SiM9,D,20180911,72880,72919,71870,72039,140,9026
SiM9,D,20180912,71915,71915,71000,71000,85,9020
SiM9,D,20180913,71500,71500,70230,70588,71,8964
SiM9,D,20180914,70360,70588,69670,70240,115,8928
SiM9,D,20180917,70388,70788,70131,70293,10,8922
SiM9,D,20180918,70222,70327,69588,69588,26,8918
SiM9,D,20180919,69570,69600,68753,68753,154,8804
SiM9,D,20180920,68908,68908,68237,68438,182,8888
SiM9,D,20180921,68338,68814,68138,68535,1034,7134
SiM9,D,20180924,68577,68599,67781,67860,478,6444
SiM9,D,20180925,67751,67923,67502,67766,1001,4568
SiM9,D,20180926,67760,68000,67700,67943,51,4576
SiM9,D,20180927,67791,67791,67588,67588,7,4566
SiM9,D,20180928,67488,67838,67188,67400,120,4592
SiM9,D,20181001,67488,67587,67256,67256,16,4592
SiM9,D,20181002,67250,67460,66800,67288,1330,4840
SiM9,D,20181003,67272,67720,67272,67720,7731,19514
SiM9,D,20181004,67599,69003,67557,68997,5074,27166
SiM9,D,20181005,69000,69160,68538,68612,142,27148
SiM9,D,20181008,68721,69208,68656,68783,73,27156
SiM9,D,20181009,68800,68911,68388,68638,61,27170
SiM9,D,20181010,68258,68700,68178,68600,258,27248
SiM9,D,20181011,68632,68990,68331,68383,111,27240
SiM9,D,20181012,68293,68293,67888,68292,56,27260
SiM9,D,20181015,68341,68341,67288,67592,153,27316
SiM9,D,20181016,67570,67588,67188,67188,50,27308
SiM9,D,20181017,67257,67553,67238,67260,222,27316
SiM9,D,20181018,67399,67738,67398,67738,30,27344
SiM9,D,20181019,67738,67798,67288,67538,36,27372
SiM9,D,20181022,67288,67438,66938,67070,134,27478
SiM9,D,20181023,67138,67388,67137,67388,87,27434
SiM9,D,20181024,67350,67640,66938,67488,293,27810
SiM9,D,20181025,67288,67800,67255,67438,53,27844
SiM9,D,20181026,67347,67800,67347,67793,16,27876
SiM9,D,20181029,67573,67713,67388,67431,35,27884
SiM9,D,20181030,67591,67726,67436,67436,35,27890
SiM9,D,20181031,67388,67685,67388,67685,39,27938
SiM9,D,20181101,67488,67588,67488,67505,34,27940
SiM9,D,20181102,67549,67813,67358,67734,321,28076
SiM9,D,20181106,67900,67988,67588,67588,31,28080
SiM9,D,20181107,67836,67888,67778,67888,111,28272
SiM9,D,20181108,67969,68300,67935,68300,44,28284
SiM9,D,20181109,68220,69379,68210,69230,361,28126
SiM9,D,20181112,69393,69900,69250,69538,309,27736
SiM9,D,20181113,69650,70010,69500,70010,2790,27796
SiM9,D,20181114,69713,70150,68874,69040,568,28644
SiM9,D,20181115,69015,69015,68221,68221,63,28692
SiM9,D,20181116,68116,68116,67460,67555,561,29520
SiM9,D,20181119,67838,67870,67650,67650,803,31032
SiM9,D,20181120,67608,67912,67288,67848,80,31090
SiM9,D,20181121,67773,67987,67593,67624,192,31296
SiM9,D,20181122,67500,67550,67188,67250,154,31482
SiM9,D,20181123,67299,68100,67299,68004,127,31600
SiM9,D,20181126,68044,69100,67960,68853,399,31890
SiM9,D,20181127,68864,68996,68206,68809,13866,42466
SiM9,D,20181128,68838,69280,68638,69138,15733,67904
SiM9,D,20181129,69002,69002,67840,67840,3422,73004
SiM9,D,20181130,67688,68687,67667,68687,4657,79050
SiM9,D,20181203,68748,68800,67820,68203,10724,90484
SiM9,D,20181204,68187,68257,67852,68257,5157,100482
SiM9,D,20181205,68397,68519,68300,68355,1034,102492
SiM9,D,20181206,68238,68800,68120,68400,338,102558
SiM9,D,20181207,68500,68556,67611,67740,383,102594
SiM9,D,20181210,67710,68120,67710,68000,131,102540
SiM9,D,20181211,68098,68410,67840,67872,144,102436
SiM9,D,20181212,68002,68049,67700,67762,67,102456
SiM9,D,20181213,67922,68000,67730,67748,61,102408
SiM9,D,20181214,67850,68349,67800,68349,411,102404
SiM9,D,20181217,68250,68315,67959,68250,2815,102668
SiM9,D,20181218,68120,68523,68100,68412,7600,116740
SiM9,D,20181219,68508,69340,68508,69156,14858,137010
SiM9,D,20181220,69060,69769,68510,69769,3285,137738
SiM9,D,20181221,69739,70202,69394,70165,51690,218202
SiM9,D,20181224,70270,70650,69700,69778,20922,246184
SiM9,D,20181225,69829,70530,69829,70358,7994,248562
SiM9,D,20181226,70323,71018,70190,70534,4618,248580
SiM9,D,20181227,70539,71117,69800,70928,5480,248780
SiM9,D,20181228,71218,71300,70726,71104,6091,252756
SiM9,D,20181229,71030,71420,70875,71387,4282,253134
SiM9,D,20190103,71401,71425,70215,70338,3437,253580
SiM9,D,20190104,70225,70285,69200,69270,3447,252462
SiM9,D,20190108,69188,69288,68188,68500,33816,199546
SiM9,D,20190109,68498,68725,68127,68459,30526,186466
SiM9,D,20190110,68413,68799,68120,68617,3257,186256
SiM9,D,20190111,68510,68573,68220,68403,31218,136208
SiM9,D,20190114,68388,68693,68265,68417,27779,114076
SiM9,D,20190115,68384,68533,68285,68296,5926,111814
SiM9,D,20190116,68325,68442,67780,67900,3556,112424
SiM9,D,20190117,67870,68050,67622,68034,3630,114316
SiM9,D,20190118,68016,68016,67485,67577,2867,114428
SiM9,D,20190121,67527,67807,67440,67720,1665,114240
SiM9,D,20190122,67693,67950,67620,67807,1812,114288
SiM9,D,20190123,67836,67877,67428,67501,2561,114620
SiM9,D,20190124,67476,67492,67041,67064,3310,115644
SiM9,D,20190125,67014,67566,66982,67331,4679,117632
SiM9,D,20190128,67288,67470,67107,67450,3522,119458
SiM9,D,20190129,67485,67699,67288,67296,3746,120988
SiM9,D,20190130,67348,67455,67129,67298,2465,121264
SiM9,D,20190131,67236,67236,66426,66638,7755,124110
SiM9,D,20190201,66714,66970,66544,66848,4682,123626
SiM9,D,20190204,66775,66935,66575,66882,2361,123646
SiM9,D,20190205,66839,66868,66619,66796,2745,123712
SiM9,D,20190206,66797,67116,66760,67015,3864,121828
SiM9,D,20190207,66971,67321,66897,67086,3521,123782
SiM9,D,20190208,67104,67339,66766,66835,2368,124890
SiM9,D,20190211,66870,66999,66662,66987,6567,129578
SiM9,D,20190212,66975,67030,66607,66767,1977,130326
SiM9,D,20190213,66750,67369,66570,66837,7004,131476
SiM9,D,20190214,66878,68270,66852,68218,19276,137140
SiM9,D,20190215,68274,68282,67632,67700,4154,138380
SiM9,D,20190218,67688,67689,67190,67251,3628,140110
SiM9,D,20190219,67322,67450,67120,67125,4888,145242
SiM9,D,20190220,67100,67100,66642,66706,11060,144260
SiM9,D,20190221,66676,66775,66439,66512,10001,152140
SiM9,D,20190222,66507,66717,66370,66470,9742,156796
SiM9,D,20190225,66459,66497,66166,66400,15619,168036
SiM9,D,20190226,66423,66913,66423,66862,13974,182332
SiM9,D,20190227,66932,67026,66680,66888,35661,195224
SiM9,D,20190228,66894,66960,66663,66875,44970,216886
SiM9,D,20190301,66860,66915,66537,66726,51161,252644
SiM9,D,20190304,66756,66890,66565,66666,165790,502238
SiM9,D,20190305,66678,66775,66592,66739,158979,648014
SiM9,D,20190306,66720,66970,66666,66921,145120,759436
SiM9,D,20190307,66895,67083,66747,67026,29624,772040
SiM9,D,20190311,67088,67197,66857,66900,74940,824644
SiM9,D,20190312,66928,66944,66533,66563,52482,850864
SiM9,D,20190313,66580,66595,66210,66312,83249,913696
SiM9,D,20190314,66340,66467,66178,66395,104701,985244
SiM9,D,20190315,66380,66431,66000,66054,121173,1030960
SiM9,D,20190318,66035,66075,64980,65325,371116,1141374
SiM9,D,20190319,65298,65420,65011,65255,425753,1391166
SiM9,D,20190320,65235,65341,65023,65132,648913,1818722
SiM9,D,20190321,65149,65210,64458,64608,1614108,2353360
SiM9,D,20190322,64606,65615,64502,65535,2420001,2510312
SiM9,D,20190325,65550,65644,64773,64853,1735770,2374744
SiM9,D,20190326,64833,65278,64707,65132,1602506,2322752
SiM9,D,20190327,65147,65755,65112,65720,1744646,2431438
SiM9,D,20190328,65741,66062,65470,65865,1894816,2391712
SiM9,D,20190329,65860,66513,65210,66480,3016098,2301256
SiM9,D,20190401,66435,66623,66013,66139,2007736,2221544
SiM9,D,20190402,66171,66310,65890,66203,1528704,2236232
SiM9,D,20190403,66203,66228,65756,65852,1925835,2320568
SiM9,D,20190404,65858,66334,65839,66190,1816801,2267516
SiM9,D,20190405,66199,66257,65820,65933,1543258,2172614
SiM9,D,20190408,65960,66150,65625,65666,1735025,2217988
SiM9,D,20190409,65683,65706,65287,65547,1458314,2031428
SiM9,D,20190410,65560,65612,64963,64985,1410356,2109738
SiM9,D,20190411,64970,65278,64853,65249,1493842,2135150
SiM9,D,20190412,65280,65373,64735,64924,1681256,2211100
SiM9,D,20190415,64936,65034,64783,64911,991986,2236398
SiM9,D,20190416,64934,65079,64776,64839,1477934,2251974
SiM9,D,20190417,64820,64839,64401,64520,1490200,2355618
SiM9,D,20190418,64524,64754,64378,64542,1311060,2343630
SiM9,D,20190419,64526,64649,64448,64639,625089,2347056
SiM9,D,20190422,64631,64640,64250,64354,790453,2394262
SiM9,D,20190423,64369,64420,64200,64311,999021,2389204
SiM9,D,20190424,64291,64855,64172,64798,1692979,2572882
SiM9,D,20190425,64807,65497,64777,65278,1955021,2488102
SiM9,D,20190426,65267,65384,65058,65245,1606918,2369818
SiM9,D,20190429,65249,65370,64865,64965,1197291,2405544
SiM9,D,20190430,64991,65128,64748,65000,1382451,2313004
SiM9,D,20190502,65010,65996,64967,65949,1827833,2348970
SiM9,D,20190503,65949,66032,65450,65510,1191888,2370562
SiM9,D,20190506,65510,65942,65425,65670,1387854,2414438
SiM9,D,20190507,65690,65721,65375,65679,1300515,2420438
SiM9,D,20190508,65695,65877,65256,65351,1722223,2454912
SiM9,D,20190510,65343,65840,65341,65632,1190522,2575020
SiM9,D,20190513,65617,65916,65417,65795,1511740,2486514
SiM9,D,20190514,65802,65847,65269,65331,1764891,2456024
SiM9,D,20190515,65348,65357,64825,64842,1369883,2433406
SiM9,D,20190516,64839,65013,64715,64813,930680,2437816
SiM9,D,20190517,64825,65116,64824,65008,996099,2439618
SiM9,D,20190520,65018,65095,64696,64782,997354,2381286
SiM9,D,20190521,64792,64905,64612,64701,983620,2372160
SiM9,D,20190522,64711,64764,64424,64580,1051833,2342718
SiM9,D,20190523,64596,65203,64596,64941,1883382,2438676
SiM9,D,20190524,64954,65173,64637,64740,1220991,2278510
SiM9,D,20190527,64750,64790,64583,64645,659994,2243276
SiM9,D,20190528,64630,64989,64605,64864,1262974,2573244
SiM9,D,20190529,64895,65608,64861,65380,1439053,2323774
SiM9,D,20190530,65430,65466,65050,65318,1294163,2125384
SiM9,D,20190531,65325,65780,65219,65375,1555566,2119602
SiM9,D,20190603,65385,65774,65330,65454,1423346,2028668
SiM9,D,20190604,65510,65588,65200,65355,1323970,1998742
SiM9,D,20190605,65385,65457,65097,65451,1597108,1940032
SiM9,D,20190606,65457,65550,65150,65217,1188820,2030708
SiM9,D,20190607,65249,65288,64845,64969,1202802,2039162
SiM9,D,20190610,64963,65008,64722,64821,915253,1904416
SiM9,D,20190611,64812,64886,64517,64613,921542,1802430
SiM9,D,20190613,64600,64846,64571,64576,767851,1757722
SiM9,D,20190614,64595,64659,64248,64387,1093012,1742122
SiM9,D,20190617,64393,64448,64155,64285,894136,1528620
SiM9,D,20190618,64261,64423,63922,64034,1357204,1414026
SiM9,D,20190619,64025,64104,63823,63846,921121,1047264
SiM9,D,20190620,63862,63921,63200,63252,691416,
