<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiU9,D,20180608,65128,65792,65128,65128,6,192
SiU9,D,20180609,,,,,,192
SiU9,D,20180611,,,,,,192
SiU9,D,20180613,,,,,,192
SiU9,D,20180614,,,,,,192
SiU9,D,20180615,65900,65900,65900,65900,36,232
SiU9,D,20180618,65900,66177,65872,66100,74,370
SiU9,D,20180619,,,,,,370
SiU9,D,20180620,66847,66847,66550,66550,4,370
SiU9,D,20180621,66100,66141,65999,66101,7,380
SiU9,D,20180622,66163,66163,64345,65500,1030,2176
SiU9,D,20180625,65206,65218,65195,65195,7,2174
SiU9,D,20180626,,,,,,2174
SiU9,D,20180627,,,,,,2174
SiU9,D,20180628,,,,,,2174
SiU9,D,20180629,,,,,,2174
SiU9,D,20180702,65998,65998,65998,65998,1,2172
SiU9,D,20180703,65999,66000,65978,65978,9,2174
SiU9,D,20180704,,,,,,2174
SiU9,D,20180705,65500,65500,65500,65500,1,2172
SiU9,D,20180706,65323,65974,65163,65292,5,2174
SiU9,D,20180709,,,,,,2174
SiU9,D,20180710,65000,65000,64420,64420,6,2170
SiU9,D,20180711,64000,64499,64000,64296,14,2162
SiU9,D,20180712,64500,64500,64437,64437,2791,2162
SiU9,D,20180713,65035,65788,65035,65788,5,2164
SiU9,D,20180716,64645,66000,64003,64402,59,2172
SiU9,D,20180717,65000,65000,64664,64877,13,2176
SiU9,D,20180718,64915,65237,64915,65237,12,2190
SiU9,D,20180719,65534,66761,65534,66761,33,2200
SiU9,D,20180720,65856,65856,65700,65700,12,2196
SiU9,D,20180723,66254,66320,65500,65500,3,2196
SiU9,D,20180724,,,,,,2196
SiU9,D,20180725,65250,65250,65250,65250,1,2194
SiU9,D,20180726,65712,65821,65051,65051,4,2192
SiU9,D,20180727,,,,,,2192
SiU9,D,20180730,65015,65015,64650,64650,4,2184
SiU9,D,20180731,64900,65200,64900,65129,15,2156
SiU9,D,20180801,65179,65500,65179,65500,4,2158
SiU9,D,20180802,65680,65800,65680,65800,2,2160
SiU9,D,20180803,66000,66000,65777,65970,4,2164
SiU9,D,20180806,66000,66000,66000,66000,1,2166
SiU9,D,20180807,66000,66123,66000,66123,4,2172
SiU9,D,20180808,66500,71297,66011,67230,178,2184
SiU9,D,20180809,67499,68641,67499,68500,23,2210
SiU9,D,20180810,68696,70094,68696,69977,55,2260
SiU9,D,20180813,70277,71176,70059,70300,21,2264
SiU9,D,20180814,70509,70700,69238,69333,54,2258
SiU9,D,20180815,69649,71977,68968,70214,156,2240
SiU9,D,20180816,70202,71464,69269,69600,47,2240
SiU9,D,20180817,69919,70638,69919,70638,6,2240
SiU9,D,20180820,69951,69951,69950,69950,2,2244
SiU9,D,20180821,70235,70235,69216,70100,11,2242
SiU9,D,20180822,70300,70300,70300,70300,1,2244
SiU9,D,20180823,71000,71858,70200,70800,46,2250
SiU9,D,20180824,70670,70670,70100,70100,4,2250
SiU9,D,20180827,70000,70199,69600,69712,10,2250
SiU9,D,20180828,69818,70300,69818,70300,2,2248
SiU9,D,20180829,70265,71100,69895,71100,30,2268
SiU9,D,20180830,70651,70815,70650,70815,3,2264
SiU9,D,20180831,70880,70880,70500,70500,5,2264
SiU9,D,20180903,70202,70202,70003,70003,20,2298
SiU9,D,20180904,70999,70999,70686,70925,10,2296
SiU9,D,20180905,70807,71207,70222,71207,19,2296
SiU9,D,20180906,70900,72221,70900,72221,7,2304
SiU9,D,20180907,72100,72984,71745,72520,72,2296
SiU9,D,20180910,72149,72900,71938,72900,6,2298
SiU9,D,20180911,73374,73376,72800,72800,7,2298
SiU9,D,20180912,72225,72428,71181,71435,31,2310
SiU9,D,20180913,71957,71957,71000,71000,11,2318
SiU9,D,20180914,71117,71250,70500,70885,14,2310
SiU9,D,20180917,,,,,,2310
SiU9,D,20180918,70700,70700,70650,70650,6,2312
SiU9,D,20180919,70000,70000,68834,69387,49,2358
SiU9,D,20180920,69336,70663,68602,69536,73,2414
SiU9,D,20180921,69567,69930,69021,69690,78,2380
SiU9,D,20180924,69320,69330,68530,68650,1225,2282
SiU9,D,20180925,68522,68530,68341,68450,27,2278
SiU9,D,20180926,68590,68660,68590,68660,3,2282
SiU9,D,20180927,68500,68500,68380,68380,24,2284
SiU9,D,20180928,68014,68014,68000,68000,3,2284
SiU9,D,20181001,68102,68340,68098,68100,9,2282
SiU9,D,20181002,67779,67980,67779,67912,7,2282
SiU9,D,20181003,67987,68179,67987,68100,5,2280
SiU9,D,20181004,68575,69690,67500,69640,2302,3974
SiU9,D,20181005,69700,69844,69280,69280,100,3964
SiU9,D,20181008,69600,69600,69600,69600,2,3968
SiU9,D,20181009,,,,,,3968
SiU9,D,20181010,69400,69400,69400,69400,1,3966
SiU9,D,20181011,69595,69595,69140,69140,10,3968
SiU9,D,20181012,69000,69040,69000,69000,12,3968
SiU9,D,20181015,68617,68617,68240,68240,66,3968
SiU9,D,20181016,68351,68351,68237,68240,61,3850
SiU9,D,20181017,68310,68340,68160,68340,9,3852
SiU9,D,20181018,68299,68500,68299,68348,12,3840
SiU9,D,20181019,68500,68720,68220,68220,5,3842
SiU9,D,20181022,68094,68320,67940,67940,14,3856
SiU9,D,20181023,,,,,,3856
SiU9,D,20181024,68200,68200,68200,68200,1,3854
SiU9,D,20181025,68500,68500,68500,68500,1,3854
SiU9,D,20181026,68112,68273,68112,68200,3,3852
SiU9,D,20181029,68500,68500,68280,68280,3,3854
SiU9,D,20181030,68300,68450,68281,68281,22,3840
SiU9,D,20181031,,,,,,3840
SiU9,D,20181101,68380,68380,68380,68380,1,3840
SiU9,D,20181102,68440,68720,68210,68680,7,3832
SiU9,D,20181106,68880,68880,68380,68419,59,3810
SiU9,D,20181107,68547,68730,68238,68607,67,3768
SiU9,D,20181108,68750,69000,68750,68817,12,3754
SiU9,D,20181109,69020,70000,69020,69870,65,3754
