<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiZ9,D,20190930,65210,65698,65161,65581,1579849,2065802
SiZ9,D,20191001,65576,66092,65501,66060,1527456,2092860
SiZ9,D,20191002,66061,66250,65700,65915,2011576,2115596
SiZ9,D,20191003,65894,66051,65683,65880,1712335,2130010
SiZ9,D,20191004,65900,65932,65170,65266,1757387,2242300
SiZ9,D,20191007,65275,65622,65225,65504,1322219,2113966
SiZ9,D,20191008,65507,65999,65373,65947,1623575,2246462
SiZ9,D,20191009,65925,65927,65415,65464,1615486,2168642
SiZ9,D,20191010,65478,65530,65016,65030,1374901,2320492
SiZ9,D,20191011,65044,65150,64569,64670,1289138,2370932
SiZ9,D,20191014,64681,64991,64666,64883,1216506,2183464
SiZ9,D,20191015,64887,65068,64736,64782,1485044,2165404
SiZ9,D,20191016,64814,65003,64635,64713,1440980,2416932
SiZ9,D,20191017,64693,64693,64366,64521,1336545,2446020
SiZ9,D,20191018,64550,64775,64404,64498,1199755,2209070
SiZ9,D,20191021,64492,64492,64114,64232,1269722,2353156
SiZ9,D,20191022,64220,64292,64022,64075,1230228,2390354
SiZ9,D,20191023,64076,64475,64038,64310,1578443,2575196
SiZ9,D,20191024,64317,64613,64200,64583,1540108,2665610
SiZ9,D,20191025,64570,64610,64050,64090,1709447,2681558
SiZ9,D,20191028,64118,64375,63971,64181,1581663,2655786
SiZ9,D,20191029,64151,64459,64075,64271,1352149,2754498
SiZ9,D,20191030,64283,64575,64165,64475,1701471,2798174
SiZ9,D,20191031,64467,64581,64105,64499,2015585,2820502
SiZ9,D,20191101,64500,64606,63777,63802,2021019,2829504
SiZ9,D,20191105,63797,64056,63525,64005,1578454,2644366
SiZ9,D,20191106,63986,64240,63805,64176,1370221,2715386
SiZ9,D,20191107,64198,64400,63957,64081,1515497,2653062
SiZ9,D,20191108,64079,64296,63720,64121,1734672,2674984
SiZ9,D,20191111,64120,64316,64086,64188,1111069,2656026
SiZ9,D,20191112,64197,64492,64056,64432,1608280,2830856
SiZ9,D,20191113,64462,64781,64426,64605,1676642,2782574
SiZ9,D,20191114,64626,64708,64269,64352,1674135,2487828
SiZ9,D,20191115,64350,64423,64012,64044,1320652,2711300
SiZ9,D,20191118,64030,64222,63951,64086,1200014,2584998
SiZ9,D,20191119,64081,64154,63880,64083,1499261,2600352
SiZ9,D,20191120,64095,64367,63956,64144,1873247,2610954
SiZ9,D,20191121,64102,64236,63903,63963,1539519,2739266
SiZ9,D,20191122,63960,64024,63822,64013,1365255,2617688
SiZ9,D,20191125,64010,64247,63932,64179,1570057,2832486
SiZ9,D,20191126,64195,64344,64102,64241,1286893,2647454
SiZ9,D,20191127,64250,64276,64063,64210,1153885,2508264
